search_batch_id	sample_category	pubmed_id
9768	Cancer Cell Lines, Ovary	23933261
9782	Cancer Cell Lines, Kidney	23933261
9766	Cancer Cell Lines, Ovary	23933261
9760	Cancer Cell Lines, Ovary	23933261
9746	Cancer Cell Lines, Lung	23933261
9764	Cancer Cell Lines, Ovary	23933261
9732	Cancer Cell Lines, Other Anatomical Entities	23933261
9744	Cancer Cell Lines, Lung	23933261
9752	Cancer Cell Lines, Lung	23933261
9740	Cancer Cell Lines, Lung	23933261
9748	Cancer Cell Lines, Lung	23933261
9738	Cancer Cell Lines, Other Anatomical Entities	23933261
9772	Cancer Cell Lines, Other Male Reproductive Organ	23933261
9781	Cancer Cell Lines, Blood	23933261
9779	Cancer Cell Lines, Blood	23933261
9777	Cancer Cell Lines, Blood	23933261
9775	Cancer Cell Lines, Blood	23933261
9773	Cancer Cell Lines, Blood	23933261
9771	Cancer Cell Lines, Blood	23933261
9769	Cancer, Other Anatomical Entities	23933261
9767	Cancer Cell Lines, Digestive System	23933261
9765	Cancer Cell Lines, Digestive System	23933261
9763	Cancer Cell Lines, Digestive System	23933261
9761	Cancer Cell Lines, Digestive System	23933261
9759	Cancer Cell Lines, Digestive System	23933261
9755	Cancer Cell Lines, Digestive System	23933261
9753	Cancer Cell Lines, Brain	23933261
9751	Cancer Cell Lines, Brain	23933261
9749	Cancer Cell Lines, Brain	23933261
9747	Cancer Cell Lines, Brain	23933261
9745	Cancer Cell Lines, Brain	23933261
9743	Cancer Cell Lines, Brain	23933261
9741	Cancer Cell Lines, Breast	23933261
9739	Cancer Cell Lines, Other Anatomical Entities	23933261
9737	Cancer Cell Lines, Breast	23933261
9733	Cancer Cell Lines, Breast	23933261
9735	Cancer Cell Lines, Breast	23933261
9731	Cancer Cell Lines, Breast	23933261
9729	Cancer Cell Lines, Breast	23933261
9809	Blood Plasma	26144840
9808	Blood Plasma	26144840
9807	Blood Plasma	26144840
9802	Blood Plasma	26144840
9798	Blood Plasma	26144840
9801	Blood Plasma	26144840
9800	Blood Plasma	26144840
9799	Blood Plasma	26144840
9806	Blood Plasma	26144840
9805	Blood Plasma	26144840
9804	Blood Plasma	26144840
9803	Blood Plasma	26144840
9837	Blood Plasma	26108252
9836	Blood Plasma	26108252
9834	Blood Plasma	26108252
9835	Blood Plasma	26108252
9833	Blood Plasma	26108252
9832	Blood Plasma	26108252
9831	Blood Plasma	26108252
9830	Blood Plasma	26108252
9829	Blood Plasma	26108252
9828	Blood Plasma	26108252
9827	Blood Plasma	26108252
8598	Other Anatomical Entities	26258467
8596	Testis	26282447
8597	Testis	26282447
8595	Cancer Cell Lines, Blood	26216070
8594	Cancer Cell Lines, Blood	26216070
8593	Cancer Cell Lines, Blood	26216070
8592	Cancer Cell Lines, Blood	26216070
8591	Sperm	26168773
8589	Cancer Cell Lines, Other Female Reproductive Organ	18083107
8590	Cancer Cell Lines, Other Female Reproductive Organ	16964243
8588	Cancer, Lung	24313913
8587	Cancer Cell Lines, Blood	24313913
8586	Non Cancer Cell Lines	19413330
8585	Non Cancer Cell Lines	19413330
8584	Non Cancer Cell Lines	19413330
8583	Non Cancer Cell Lines	19413330
8581	Blood Plasma	25724909
8582	Blood Plasma	25724909
8580	Blood Plasma	25724909
8579	Blood Plasma	25724909
8578	Blood Plasma	25724909
8577	Blood Plasma	25724909
8576	Blood Plasma	25724909
8575	Blood Plasma	25724909
8574	Blood Plasma	25724909
8573	Blood Plasma	25724909
8572	Cancer, Ovary	21720365
8570	Non Cancer Cell Lines	22199227
8571	Non Cancer Cell Lines	22199227
8569	Cancer Cell Lines, Other Female Reproductive Organ	22468782
8568	Cancer Cell Lines, Other Female Reproductive Organ	22468782
8567	Cancer Cell Lines, Other Female Reproductive Organ	20068231
8566	Non Cancer Cell Lines	21406692
8562	Non Cancer Cell Lines	21406692
8564	Non Cancer Cell Lines	21406692
8563	Non Cancer Cell Lines	21406692
8565	Non Cancer Cell Lines	21406692
8561	Non Cancer Cell Lines	21406692
8560	Non Cancer Cell Lines	21406692
8559	Non Cancer Cell Lines	21406692
8557	Cancer Cell Lines, Other Female Reproductive Organ	25159151
8556	Cancer Cell Lines, Other Female Reproductive Organ	25159151
8558	Cancer Cell Lines, Other Female Reproductive Organ	25159151
8554	Cancer Cell Lines, Other Female Reproductive Organ	25159151
8555	Cancer Cell Lines, Other Female Reproductive Organ	25159151
8553	Cancer Cell Lines, Other Female Reproductive Organ	25159151
8552	Cancer Cell Lines, Other Female Reproductive Organ	25159151
8550	Brain	25307156
8548	Cancer Cell Lines, Blood	26074081
8547	Cancer Cell Lines, Blood	26074081
8545	Cancer Cell Lines, Blood	26074081
8546	Cancer Cell Lines, Blood	26074081
8551	Cancer Cell Lines, Blood	26074081
8544	Cancer Cell Lines, Blood	26074081
8542	Cancer Cell Lines, Blood	26074081
8543	Cancer Cell Lines, Blood	26074081
8541	Cancer Cell Lines, Blood	26074081
8540	Cancer Cell Lines, Blood	26074081
8539	Cancer Cell Lines, Other Female Reproductive Organ	26055452
8538	Cancer Cell Lines, Other Female Reproductive Organ	26055452
8535	Cancer Cell Lines, Blood	23186163
8529	Cancer Cell Lines, Blood	23186163
8534	Cancer Cell Lines, Blood	23186163
8528	Cancer Cell Lines, Blood	23186163
8533	Cancer Cell Lines, Blood	23186163
8532	Cancer Cell Lines, Blood	23186163
8536	Cancer Cell Lines, Other Female Reproductive Organ	23186163
8531	Cancer Cell Lines, Other Female Reproductive Organ	23186163
8527	Cancer Cell Lines, Other Female Reproductive Organ	23186163
8526	Cancer Cell Lines, Other Female Reproductive Organ	23186163
8530	Cancer Cell Lines, Other Female Reproductive Organ	23186163
8537	Cancer Cell Lines, Other Female Reproductive Organ	23186163
8524	Non Cancer Cell Lines	23756949
8523	Non Cancer Cell Lines	23756949
8521	Blood Cells	24400094
8519	Blood Cells	24400094
8520	Blood Cells	24400094
8518	Blood Cells	24400094
8517	Cancer Cell Lines, Blood	
8516	Cancer Cell Lines, Blood	24667141
8515	Cancer, Digestive System	23312004
8514	Cancer, Digestive System	23312004
8512	Cancer Cell Lines, Digestive System	23312004
8513	Cancer Cell Lines, Digestive System	23312004
8510	Cancer Cell Lines, Digestive System	23312004
8511	Cancer Cell Lines, Digestive System	23312004
8509	Cancer, Digestive System	23312004
8508	Cancer, Digestive System	23312004
8375	Blood Plasma	23082986
8374	Blood Plasma	23082986
8372	Blood Plasma	23082986
8373	Blood Plasma	23082986
8371	Blood Plasma	23082986
8370	Blood Plasma	23082986
8367	Brain	24076635
8366	Brain	24076635
8365	Brain	22942359
8364	Brain	24905578
8363	Brain	24449343
8362	Cancer, Brain	25325876
8361	Brain	24023061
8360	Brain	24274931
8359	Brain	24274931
8358	Eye	25407473
8357	Blood Plasma	25333471
8495	Cancer Cell Lines, Other Female Reproductive Organ	24850871
8494	Cancer Cell Lines, Other Female Reproductive Organ	24850871
8493	Cancer Cell Lines, Blood	24850871
8497	Cancer Cell Lines, Blood	24850871
9789	Cancer, Ovary	21720365
9792	Cancer, Ovary	21720365
9791	Cancer, Ovary	21720365
8503	Cancer, Ovary	21720365
8341	Cancer Cell Lines, Liver	24256510
8340	Cancer Cell Lines, Liver	24256510
8339	Cancer Cell Lines, Liver	24256510
7992	Cerebrospinal Fluid	24769233
7991	Cerebrospinal Fluid	23300121
7990	Blood Plasma	23300121
7989	Blood Plasma	25038066
7988	Blood Plasma	25038066
7987	Cerebrospinal Fluid	25038066
7986	Cerebrospinal Fluid	25038066
7985	Cerebrospinal Fluid	25038066
7984	Cerebrospinal Fluid	25038066
7983	Cerebrospinal Fluid	25038066
9569	Non Cancer Cell Lines	24870543
9568	Non Cancer Cell Lines	24870543
9570	Non Cancer Cell Lines	24870543
9563	Blood Cells	24870543
9562	Placenta	24870543
9561	Placenta	24870543
9559	Placenta	24870543
8491	Cancer Cell Lines, Breast	24870543
9551	Cancer Cell Lines, Breast	24870543
9550	Cancer Cell Lines, Breast	24870543
9543	Non Cancer Cell Lines	24870543
9534	Blood Cells	24870543
8492	Cancer Cell Lines, Other Anatomical Entities	24870543
9536	Brain	24870543
9533	Other Anatomical Entities	24870543
9588	Other Female Reproductive Organ	24870543
9535	Digestive System	24870543
9538	Digestive System	24870543
9587	Other Female Reproductive Organ	24870543
9586	Other Female Reproductive Organ	24870543
9585	Other Anatomical Entities	24870543
9580	Testis	24870543
9579	Testis	24870543
9575	Spleen	24870543
9574	Other Anatomical Entities	24870543
9571	Other Anatomical Entities	24870543
9567	Digestive System	24870543
9564	Other Male Reproductive Organ	24870543
9566	Other Male Reproductive Organ	24870543
9565	Other Male Reproductive Organ	24870543
9555	Ovary	24870543
9556	Ovary	24870543
9554	Digestive System	24870543
9553	Other Respiratory Organ	24870543
9552	Other Anatomical Entities	24870543
9549	Other Anatomical Entities	24870543
9584	Other Anatomical Entities	24870543
9583	Thyroid Gland	24870543
9582	Testis	24870543
9581	Testis	24870543
9578	Digestive System	24870543
9577	Spleen	24870543
9576	Spleen	24870543
9573	Other Male Reproductive Organ	24870543
9572	Other Anatomical Entities	24870543
9560	Placenta	24870543
9558	Pancreas	24870543
9557	Ovary	24870543
9548	Lung	24870543
9545	Liver	24870543
9547	Liver	24870543
9546	Liver	24870543
9544	Kidney	24870543
9542	Other Anatomical Entities	24870543
9541	Digestive System	24870543
9540	Digestive System	24870543
9537	Other Female Reproductive Organ	24870543
9539	Other Anatomical Entities	24870543
9532	Adrenal Gland	24870543
