search_batch_id	experiment_tag	sample_category	publication_name	pubmed_id	repository_identifiers
9123	Hs_Blood_Dendritic_cells-BDCA3	Blood Cells	Worah et al. (2016)	27626665	PXD004678
9125	Hs_Blood_Dendritic_cells-CD1C	Blood Cells	Worah et al. (2016)	27626665	PXD004678
9124	Hs_Blood_Dendritic_cells-CD16	Blood Cells	Worah et al. (2016)	27626665	PXD004678
9126	Hs_Blood_Dendritic_cells-pDC	Blood Cells	Worah et al. (2016)	27626665	PXD004678
9122	Hs_Centrosome	Other Anatomical Entities	Farina et al. (2016)	26655833	PXD003226
9121	Hs_Frontotemporal_Lobes_sTBI	Brain	Xu et al. (2016)	27067185	PXD002783
9120	Hs_hippocampus-TMT6plex	Brain	Xu et al. (2016)	26923401	PXD001987
9118	Hs_milk-derived-EV_ITETD	Other Anatomical Entities	van Herwijnen et al. (2016)	27601599	PXD004423
9117	Hs_milk-derived-EV_ITCID	Other Anatomical Entities	van Herwijnen et al. (2016)	27601599	PXD004423
9119	Hs_milk-derived-EV_QExactive	Other Anatomical Entities	van Herwijnen et al. (2016)	27601599	PXD004423
9116	Hs_Platelet_DRMs	Blood Cells	Szklanna et al. (2016)	27329341	PXD002554
9115	Hs_Ureter	Ureter	Magdeldin et al. (2016)	26442468	PXD002620
9114	Hs_Macrophage_IAV-infection	Blood Cells	Cypryk et al. (2017)	27723984	PXD004424
